tau,cvxvx
0.00807221,13666.48190441
0.00810221,13646.71378346
0.00813222,13626.99878897
0.00816223,13607.33075349
0.00819224,13587.71162849
0.00822225,13568.13171068
0.00825225,13548.60536471
0.00828226,13529.13917224
0.00831227,13509.72919485
0.00834228,13490.39297978
0.00837229,13471.12000735
0.00840230,13451.91942279
0.00843230,13432.78142279
0.00846231,13413.70556801
0.00849232,13394.68639890
0.00852233,13375.70543566
0.00855234,13356.75834926
0.00858235,13337.82794118
0.00861235,13318.91932537
0.00864236,13300.02820221
0.00867237,13281.16387868
0.00870238,13262.33168437
0.00873239,13243.52899044
0.00876239,13224.75280221
0.00879240,13206.00002695
0.00882241,13187.25733015
0.00885242,13168.52936048
0.00888243,13149.81888824
0.00891244,13131.13940136
0.00894244,13112.48821276
0.00897245,13093.87586158
0.00900246,13075.29839485
0.00903247,13056.75741912
0.00906248,13038.24365449
0.00909248,13019.75581857
0.00912249,13001.29994063
0.00915250,12982.87119963
0.00918251,12964.48030000
0.00921252,12946.13286741
0.00924253,12927.83302187
0.00927253,12909.59091985
0.00930254,12891.40475294
0.00933255,12873.28878695
0.00936256,12855.23166353
0.00939257,12837.24171947
0.00942257,12819.31738068
0.00945258,12801.45100460
0.00948259,12783.64105375
0.00951260,12765.88405993
0.00954261,12748.17102243
0.00957262,12730.49219044
0.00960262,12712.84262004
0.00963263,12695.21638879
0.00966264,12677.61642868
0.00969265,12660.04372390
0.00972266,12642.50189298
0.00975266,12624.98026673
0.00978267,12607.46744357
0.00981268,12589.95662697
0.00984269,12572.44597849
0.00987270,12554.91862647
0.00990271,12537.37801533
0.00993271,12519.83583636
0.00996272,12502.29755809
0.00999273,12484.77212004
0.01002274,12467.26155147
0.01005275,12449.77305919
0.01008276,12432.30444816
0.01011276,12414.85828989
0.01014277,12397.44120680
0.01017278,12380.04455460
0.01020279,12362.67155846
0.01023280,12345.31813971
0.01026280,12327.98129596
0.01029281,12310.66937647
0.01032282,12293.37638511
0.01035283,12276.11461581
0.01038284,12258.88779706
0.01041285,12241.70046985
0.01044285,12224.56533125
0.01047286,12207.49114303
0.01050287,12190.48009871
0.01053288,12173.54185110
0.01056289,12156.66813346
0.01059289,12139.87335061
0.01062290,12123.14733383
0.01065291,12106.49454568
0.01068292,12089.90797452
0.01071293,12073.38284772
0.01074294,12056.91838601
0.01077294,12040.51772298
0.01080295,12024.16994583
0.01083296,12007.87933278
0.01086297,11991.63811858
0.01089298,11975.44784419
0.01092298,11959.30290051
0.01095299,11943.20175869
0.01098300,11927.13694134
0.01101301,11911.11712252
0.01104302,11895.13794743
0.01107303,11879.20531140
0.01110303,11863.31565877
0.01113304,11847.47597791
0.01116305,11831.68255200
0.01119306,11815.93969467
0.01122307,11800.25728621
0.01125307,11784.63208768
0.01128308,11769.06222500
0.01131309,11753.54775551
0.01134310,11738.09110680
0.01137311,11722.69025570
0.01140312,11707.34847169
0.01143312,11692.08136399
0.01146313,11676.87632206
0.01149314,11661.74036066
0.01152315,11646.66920610
0.01155316,11631.65243151
0.01158317,11616.68102281
0.01161317,11601.75400594
0.01164318,11586.86458548
0.01167319,11572.01310202
0.01170320,11557.20418125
0.01173321,11542.44164504
0.01176321,11527.73500625
0.01179322,11513.09403824
0.01182323,11498.51023088
0.01185324,11483.98612849
0.01188325,11469.50958989
0.01191326,11455.07412224
0.01194326,11440.66995257
0.01197327,11426.29136912
0.01200328,11411.92871158
0.01203329,11397.58035993
0.01206330,11383.22963243
0.01209330,11368.87223412
0.01212331,11354.50107840
0.01215332,11340.11502991
0.01218333,11325.71607697
0.01221334,11311.31007244
0.01224335,11296.89571283
0.01227335,11282.47768309
0.01230336,11268.05672960
0.01233337,11253.63214963
0.01236338,11239.21060699
0.01239339,11224.80162132
0.01242339,11210.41294963
0.01245340,11196.05958022
0.01248341,11181.74826103
0.01251342,11167.48417925
0.01254343,11153.26212537
0.01257344,11139.09220515
0.01260344,11124.98006838
0.01263345,11110.92552886
0.01266346,11096.93380110
0.01269347,11083.00410498
0.01272348,11069.12706103
0.01275348,11055.29643566
0.01278349,11041.50843989
0.01281350,11027.76072243
0.01284351,11014.04505074
0.01287352,11000.37813934
0.01290353,10986.76266886
0.01293353,10973.21103309
0.01296354,10959.72551897
0.01299355,10946.30675147
0.01302356,10932.96124483
0.01305357,10919.68792770
0.01308358,10906.49105276
0.01311358,10893.37222647
0.01314359,10880.33501710
0.01317360,10867.38379210
0.01320361,10854.49781305
0.01323362,10841.66564357
0.01326362,10828.87865331
0.01329363,10816.12670588
0.01332364,10803.40141912
0.01335365,10790.69393015
0.01338366,10777.98839522
0.01341367,10765.27895037
0.01344367,10752.56448897
0.01347368,10739.84635110
0.01350369,10727.12935662
0.01353370,10714.42441360
0.01356371,10701.73267463
0.01359371,10689.05882684
0.01362372,10676.40326507
0.01365373,10663.76197316
0.01368374,10651.12961919
0.01371375,10638.49853842
0.01374376,10625.85022904
0.01377376,10613.17908272
0.01380377,10600.48141801
0.01383378,10587.76074577
0.01386379,10575.02984926
0.01389380,10562.28659724
0.01392380,10549.53511434
0.01395381,10536.77699485
0.01398382,10524.01322151
0.01401383,10511.25373088
0.01404384,10498.50461691
0.01407385,10485.76616195
0.01410385,10473.03443349
0.01413386,10460.30302217
0.01416387,10447.56586287
0.01419388,10434.82254357
0.01422389,10422.06648842
0.01425389,10409.30388794
0.01428390,10396.54114553
0.01431391,10383.78641452
0.01434392,10371.05076930
0.01437393,10358.34093011
0.01440394,10345.65743529
0.01443394,10332.99259375
0.01446395,10320.34297335
0.01449396,10307.69607390
0.01452397,10295.05062923
0.01455398,10282.40685956
0.01458399,10269.75647897
0.01461399,10257.09530092
0.01464400,10244.41710625
0.01467401,10231.71713382
0.01470402,10218.99107261
0.01473403,10206.25362528
0.01476403,10193.50761967
0.01479404,10180.76748456
0.01482405,10168.04553327
0.01485406,10155.35059504
0.01488407,10142.69649086
0.01491408,10130.09103093
0.01494408,10117.53447108
0.01497409,10105.02186243
0.01500410,10092.54818020
0.01503411,10080.10844965
0.01506412,10067.70765632
0.01509412,10055.34145669
0.01512413,10043.02347664
0.01515414,10030.75677013
0.01518415,10018.54394058
0.01521416,10006.38297028
0.01524417,9994.26825954
0.01527417,9982.18608088
0.01530418,9970.12841232
0.01533419,9958.08659941
0.01536420,9946.05735338
0.01539421,9934.03958805
0.01542421,9922.02720592
0.01545422,9910.03220386
0.01548423,9898.04865129
0.01551424,9886.08112917
0.01554425,9874.11799189
0.01557426,9862.15713211
0.01560426,9850.18432077
0.01563427,9838.19888544
0.01566428,9826.19385717
0.01569429,9814.17282665
0.01572430,9802.14164724
0.01575430,9790.10594779
0.01578431,9778.06303070
0.01581432,9766.01792425
0.01584433,9753.97392042
0.01587434,9741.93567743
0.01590435,9729.90350868
0.01593435,9717.88125257
0.01596436,9705.86847739
0.01599437,9693.87038972
0.01602438,9681.89113925
0.01605439,9669.93936121
0.01608440,9658.02230443
0.01611440,9646.14633327
0.01614441,9634.31774743
0.01617442,9622.53801949
0.01620443,9610.81005441
0.01623444,9599.13727555
0.01626444,9587.52540993
0.01629445,9575.97799559
0.01632446,9564.49407040
0.01635447,9553.08135796
0.01638448,9541.73661381
0.01641449,9530.45062539
0.01644449,9519.21678803
0.01647450,9508.03101213
0.01650451,9496.90103088
0.01653452,9485.82902665
0.01656453,9474.81991213
0.01659453,9463.87179357
0.01662454,9452.97146342
0.01665455,9442.09923842
0.01668456,9431.24463143
0.01671457,9420.40285088
0.01674458,9409.57820395
0.01677458,9398.77698862
0.01680459,9388.00020623
0.01683460,9377.24201305
0.01686461,9366.50225640
0.01689462,9355.77203929
0.01692462,9345.05005189
0.01695463,9334.33054344
0.01698464,9323.61165037
0.01701465,9312.88970426
0.01704466,9302.16927404
0.01707467,9291.44995496
0.01710467,9280.72801268
0.01713468,9270.00208346
0.01716469,9259.26453300
0.01719470,9248.51271875
0.01722471,9237.74742127
0.01725471,9226.96502811
0.01728472,9216.17043824
0.01731473,9205.36324246
0.01734474,9194.55650827
0.01737475,9183.74610018
0.01740476,9172.93330658
0.01743476,9162.11124173
0.01746477,9151.27400055
0.01749478,9140.41444532
0.01752479,9129.53332932
0.01755480,9118.63277480
0.01758481,9107.72067996
0.01761481,9096.81022757
0.01764482,9085.91767893
0.01767483,9075.06116362
0.01770484,9064.25422164
0.01773485,9053.50449336
0.01776485,9042.82127217
0.01779486,9032.20746222
0.01782487,9021.66163417
0.01785488,9011.17263513
0.01788489,9000.73726028
0.01791490,8990.34764494
0.01794490,8979.99797478
0.01797491,8969.68627193
0.01800492,8959.40536608
0.01803493,8949.15249688
0.01806494,8938.91711773
0.01809494,8928.69671728
0.01812495,8918.48161379
0.01815496,8908.26854382
0.01818497,8898.04302211
0.01821498,8887.80994779
0.01824499,8877.56727121
0.01827499,8867.32625092
0.01830500,8857.09286820
0.01833501,8846.87256838
0.01836502,8836.66275221
0.01839503,8826.46755165
0.01842503,8816.28726893
0.01845504,8806.12433768
0.01848505,8795.97993526
0.01851506,8785.86214616
0.01854507,8775.77466823
0.01857508,8765.72976987
0.01860508,8755.72366421
0.01863509,8745.75808814
0.01866510,8735.82991772
0.01869511,8725.93302006
0.01872512,8716.06869971
0.01875512,8706.23973838
0.01878513,8696.44678423
0.01881514,8686.68952278
0.01884515,8676.95858274
0.01887516,8667.24606239
0.01890517,8657.54650377
0.01893517,8647.86170682
0.01896518,8638.18853586
0.01899519,8628.52556517
0.01902520,8618.87682895
0.01905521,8609.23599506
0.01908522,8599.60283336
0.01911522,8589.96760349
0.01914523,8580.32322849
0.01917524,8570.66882868
0.01920525,8561.00300972
0.01923526,8551.33202408
0.01926526,8541.65517353
0.01929527,8531.97991140
0.01932528,8522.30931400
0.01935529,8512.64301611
0.01938530,8502.98462684
0.01941531,8493.34065662
0.01944531,8483.71753761
0.01947532,8474.12276268
0.01950533,8464.55866118
0.01953534,8455.02511934
0.01956535,8445.52569007
0.01959535,8436.06190702
0.01962536,8426.64491073
0.01965537,8417.27619211
0.01968538,8407.94832978
0.01971539,8398.66264156
0.01974540,8389.40752518
0.01977540,8380.16566011
0.01980541,8370.92834743
