tau,c_fx_fx,c_fx_fy,c_fy_fy
0.00005700,10620797794.11764717,14709927.57352941,10663764338.23529434
0.00005850,10514565992.64705849,15247798.61580882,10557638970.58823586
0.00006000,10407381250.00000000,15780553.84191176,10450563970.58823586
0.00006150,10299351102.94117737,16309200.88235294,10342647794.11764717
0.00006300,10190552757.35294151,16830157.72058824,10233999816.17646980
0.00006450,10081048345.58823586,17346278.71323529,10124639154.41176414
0.00006600,9970952205.88235283,17853626.65441176,10014712316.17646980
0.00006750,9860315625.00000000,18353905.49632353,9904270588.23529434
0.00006900,9749251102.94117737,18846743.40073529,9793436213.23529434
0.00007050,9637790808.82353020,19331496.50735294,9682210477.94117737
0.00007200,9526052941.17646980,19805825.00000000,9570732169.11764717
0.00007350,9414106985.29411697,20272231.43382353,9459054227.94117737
0.00007500,9302010661.76470566,20728937.50000000,9347226102.94117737
0.00007650,9189820955.88235283,21175811.76470588,9235339522.05882263
0.00007800,9077629411.76470566,21613774.26470588,9123443382.35294151
0.00007950,8965470036.76470566,22040695.40441176,9011600551.47058868
0.00008100,8853418382.35294151,22456918.93382353,8899887132.35294151
0.00008250,8741550183.82353020,22864106.98529412,8788342647.05882263
0.00008400,8629888970.58823586,23259747.79411765,8677034007.35294151
0.00008550,8518511397.05882359,23645183.60294118,8566008823.52941132
0.00008700,8407454595.58823490,24019185.29411765,8455314889.70588207
0.00008850,8296781433.82352924,24381148.36397059,8345013786.76470566
0.00009000,8186525919.11764717,24732873.56617647,8235131066.17647076
0.00009150,8076739889.70588207,25073706.25000000,8125723345.58823490
0.00009300,7967472977.94117641,25403025.38602941,8016831801.47058868
0.00009450,7858739889.70588207,25721264.61397059,7908490992.64705849
0.00009600,7750603308.82352924,26026642.70220588,7800740625.00000000
0.00009750,7643089522.05882359,26320948.71323529,7693616911.76470566
0.00009900,7536234926.47058868,26604440.12867647,7587150551.47058868
0.00010050,7430070772.05882359,26876247.97794118,7481378125.00000000
0.00010200,7324629411.76470566,27136496.93014706,7376326102.94117641
0.00010350,7219936029.41176510,27385472.07720588,7272020036.76470566
0.00010500,7116020220.58823490,27620776.17647059,7168491911.76470566
0.00010650,7012905330.88235283,27845716.91176471,7065758272.05882359
0.00010800,6910611764.70588207,28059618.01470588,6963849264.70588207
0.00010950,6809167279.41176510,28260497.24264706,6862777205.88235283
0.00011100,6708589889.70588207,28450806.61764706,6762573161.76470566
0.00011250,6608897426.47058868,28627801.28676471,6663248713.23529434
0.00011400,6510101838.23529434,28794795.58823529,6564820588.23529434
0.00011550,6412229411.76470566,28948796.23161765,6467304044.11764717
0.00011700,6315286029.41176510,29090924.26470588,6370714154.41176510
0.00011850,6219287500.00000000,29220697.11397059,6275065625.00000000
0.00012000,6124244669.11764717,29340018.75000000,6180362683.82352924
0.00012150,6030173713.23529434,29447052.85485294,6086622058.82352924
0.00012300,5937076102.94117641,29541833.29044118,5993852757.35294151
0.00012450,5844963235.29411793,29624722.50000000,5902060294.11764717
0.00012600,5753844669.11764717,29696502.59191176,5811252205.88235283
0.00012750,5663722977.94117641,29756935.84558824,5721434742.64705849
0.00012900,5574605698.52941132,29804943.93382353,5632613051.47058868
0.00013050,5486497242.64705849,29841262.19669118,5544791911.76470566
0.00013200,5399395220.58823490,29866375.71691176,5457977022.05882359
0.00013350,5313308823.52941132,29879217.18750000,5372163602.94117641
0.00013500,5228240073.52941132,29880717.27941176,5287359742.64705849
0.00013650,5144186029.41176510,29870248.62132353,5203563602.94117641
0.00013800,5061148161.76470566,29848920.77205882,5120774816.17647076
0.00013950,4979125919.11764717,29816148.60294118,5038997610.29411793
0.00014100,4898122610.29411793,29771536.45955882,4958222426.47058868
0.00014250,4818130330.88235283,29716047.26102941,4878456250.00000000
0.00014400,4739150735.29411793,29648178.12500000,4799694485.29411793
0.00014550,4661174632.35294151,29570660.56985294,4721930147.05882359
0.00014700,4584203125.00000000,29480658.49264706,4645160110.29411793
0.00014850,4508236397.05882359,29380583.45588235,4569382352.94117641
0.00015000,4433265441.17647076,29268514.52205882,4494600000.00000000
0.00015150,4359284926.47058868,29145764.25000000,4420791360.29411793
0.00015300,4286287316.17647076,29013365.25735294,4347965073.52941132
0.00015450,4214271691.17647076,28868286.04779412,4276115257.35294104
0.00015600,4143231433.82352924,28713457.48161765,4205228676.47058821
0.00015750,4073159007.35294104,28547711.81985294,4135303492.64705896
0.00015900,4004046691.17647076,28371989.98161765,4066329411.76470566
0.00016050,3935889705.88235283,28185001.21323529,3998305514.70588255
0.00016200,3868679595.58823538,27988613.27205882,3931222610.29411745
0.00016350,3802406617.64705896,27781768.98897059,3865067830.88235283
0.00016500,3737064338.23529434,27565427.05882353,3799840808.82352924
0.00016650,3672644485.29411745,27337171.87500000,3735529411.76470566
0.00016800,3609140808.82352924,27101785.25735294,3672128308.82352924
0.00016950,3546543566.17647076,26855451.42095588,3609627573.52941179
0.00017100,3484844669.11764717,26600254.04411765,3548017830.88235283
0.00017250,3424036029.41176462,26335328.86029412,3487288235.29411745
0.00017400,3364103860.29411745,26061696.32352941,3427439889.70588255
0.00017550,3305043382.35294104,25778958.65808824,3368452573.52941179
0.00017700,3246845220.58823538,25487589.39338235,3310323161.76470566
0.00017850,3189502022.05882359,25188152.55514706,3253041360.29411745
0.00018000,3132998897.05882359,24881133.36397059,3196600735.29411745
0.00018150,3077327573.52941179,24564732.37132353,3140988970.58823538
0.00018300,3022482904.41176462,24240248.01470588,3086196507.35294104
0.00018450,2968452573.52941179,23908963.98897059,3032214522.05882359
0.00018600,2915224632.35294104,23570311.46507353,2979032536.76470566
0.00018750,2862794117.64705896,23224854.57720588,2926645588.23529434
0.00018900,2811145955.88235283,22871717.48253676,2875038786.76470566
0.00019050,2760275202.20588255,22512684.08088235,2824208823.52941179
0.00019200,2710170220.58823538,22146852.90441176,2774137500.00000000
0.00019350,2660820091.91176462,21775424.57720588,2724822426.47058821
0.00019500,2612216121.32352924,21398146.94852941,2676254779.41176462
0.00019650,2564349485.29411745,21014581.87500000,2628418750.00000000
0.00019800,2517209871.32352924,20625991.17647059,2581307352.94117641
0.00019950,2470786599.26470566,20232421.87500000,2534914522.05882359
0.00020100,2425073051.47058821,19834346.13970588,2489228125.00000000
0.00020250,2380054926.47058821,19431616.58088235,2444237500.00000000
0.00020400,2335726488.97058821,19024548.45588235,2399938051.47058821
0.00020550,2292075147.05882359,18613322.86764706,2356312647.05882359
0.00020700,2249091323.52941179,18198908.47242647,2313361433.82352924
0.00020850,2206771746.32352924,17780429.09926471,2271068437.50000000
0.00021000,2165101102.94117641,17359530.69852941,2229426783.08823538
0.00021150,2124070349.26470590,16934901.47058824,2188426286.76470566
0.00021300,2083672941.17647052,16508840.00000000,2148060459.55882359
0.00021450,2043897352.94117641,16078325.00000000,2108316580.88235283
0.00021600,2004736691.17647052,15646817.55882353,2069187169.11764717
0.00021750,1966179816.17647052,15213298.30882353,2030665073.52941179
0.00021900,1928218639.70588231,14777942.38970588,1992740753.67647052
0.00022050,1890847665.44117641,14341141.67279412,1955407297.79411769
0.00022200,1854054283.08823538,13902497.24264706,1918649540.44117641
0.00022350,1817824154.41176462,13463043.27389706,1882464650.73529410
0.00022500,1782164099.26470590,13022531.06617647,1846843400.73529410
0.00022650,1747054577.20588231,12580889.61397059,1811776672.79411769
0.00022800,1712487568.01470590,12139340.62500000,1777256176.47058821
0.00022950,1678460088.23529410,11697000.53308824,1743272849.26470590
0.00023100,1644959893.38235283,11254363.05147059,1709821672.79411769
0.00023250,1611977473.52941179,10811691.91176471,1676892463.23529410
0.00023400,1579511884.19117641,10368704.66911765,1644475716.91176462
0.00023550,1547547169.11764717,9926510.47794118,1612564632.35294127
0.00023700,1516081621.32352948,9484705.55147059,1581152371.32352948
0.00023850,1485104494.48529410,9043594.88970588,1550230937.50000000
0.00024000,1454612767.64705873,8602217.64705882,1519793198.52941179
0.00024150,1424593593.75000000,8162071.37867647,1489830091.91176462
0.00024300,1395039882.35294127,7722715.31250000,1460331496.32352948
0.00024450,1365947338.78676462,7284448.30882353,1431296180.14705873
0.00024600,1337308954.04411769,6847029.46691176,1402712900.73529410
0.00024750,1309113948.52941179,6410454.78125000,1374577867.46323538
0.00024900,1281362242.64705873,5975833.47426471,1346877962.13235283
0.00025050,1254041461.39705873,5541520.58823529,1319612762.86764717
0.00025200,1227145579.04411769,5109641.91176471,1292772917.27941179
0.00025350,1200670580.88235283,4678122.95955882,1266346858.45588231
0.00025500,1174607803.30882359,4249137.50000000,1240335196.69117641
0.00025650,1148950068.01470590,3821427.27941176,1214728595.58823538
0.00025800,1123696189.33823538,3394778.73161765,1189517009.19117641
0.00025950,1098834437.50000000,2970860.47794118,1164697512.86764717
0.00026100,1074361674.63235283,2547382.55514706,1140264406.43382359
0.00026250,1050267441.91176474,2127196.87500000,1116209356.61764717
0.00026400,1026552746.87500000,1707893.01470588,1092526094.70588231
0.00026550,1003207659.37500000,1291522.64705882,1069212751.41544116
0.00026700,980226402.24264705,875986.87500000,1046256045.40441179
0.00026850,957607312.68382359,463541.74632353,1023655091.91176474
0.00027000,935339204.26470590,53232.72058824,1001401911.76470590
0.00027150,913419770.40441179,-355739.15441176,979491404.77941179
0.00027300,891843422.24264705,-761833.06985294,957918894.85294116
0.00027450,870602328.30882359,-1165812.46323529,936674726.65441179
0.00027600,849696945.90073526,-1568735.90073529,915758641.54411769
0.00027750,829116854.22794116,-1968136.21323529,895163698.34558821
0.00027900,808860752.57352936,-2366397.24264706,874881973.34558821
0.00028050,788920352.75735295,-2760919.26470588,854909494.48529410
0.00028200,769292146.87500000,-3153890.27573529,835242851.83823526
0.00028350,749970486.58088231,-3544011.01102941,815874309.00735295
0.00028500,730954828.30882359,-3932076.69117647,796801111.39705884
0.00028650,712234075.55147064,-4318040.33088235,778015833.08823526
0.00028800,693808617.64705884,-4700838.38786765,759515959.37500000
0.00028950,675671306.98529410,-5081950.07352941,741294916.17647064
0.00029100,657819850.55147064,-5459952.23529412,723348768.56617641
0.00029250,640247487.86764705,-5835954.98161765,705673517.64705884
0.00029400,622951110.84558821,-6208949.59558824,688264432.72058821
0.00029550,605928651.10294116,-6579749.35661765,671116952.20588231
0.00029700,589171515.07352936,-6947914.31985294,654226150.91911769
0.00029850,572679676.65441179,-7313910.23897059,637586476.65441179
0.00030000,556446455.69852936,-7677252.38970588,621197561.21323526
0.00030150,540468707.68382359,-8038148.89705882,605051570.95588231
0.00030300,524741814.17279410,-8395964.98161765,589147819.66911769
0.00030450,509263150.91911763,-8751330.14705882,573478323.36764705
0.00030600,494028497.24264705,-9104561.36213235,558042699.26470590
0.00030750,479033601.10294116,-9455879.59558824,542836245.77205884
0.00030900,464276244.65073532,-9803532.72058824,527853873.71323532
0.00031050,449751374.87132353,-10149837.35294118,513092732.90441179
0.00031200,435455876.10294116,-10492847.42647059,498549301.83823532
0.00031350,421386822.59191179,-10833904.22794118,484219169.66911763
0.00031500,407539422.05882353,-11172610.03676471,470101810.66176468
0.00031650,393910781.43382353,-11508963.05147059,456190293.38235295
0.00031800,380498480.14705884,-11843030.45955882,442483893.56617647
0.00031950,367298345.95588237,-12174431.61764706,428977583.82352942
0.00032100,354305316.43382353,-12505062.90441176,415668269.30147058
0.00032250,341521439.88970590,-12831767.64705882,402555134.00735295
0.00032400,328939065.80882353,-13157633.29044118,389633265.25735295
0.00032550,316554711.02941179,-13481407.33455882,376899581.32352942
0.00032700,304367736.23161763,-13803290.07352941,364351509.20955884
0.00032850,292376348.16176468,-14123399.57720588,351986981.06617647
0.00033000,280573783.75000000,-14440630.03676471,339802218.63970590
0.00033150,268958516.58272058,-14756915.05330882,327795611.84558821
0.00033300,257528790.62500000,-15071105.21323529,315961872.78860295
0.00033450,246280120.58823529,-15384471.50735294,304302762.38970590
0.00033600,235210872.79411766,-15695439.52205882,292812524.76102942
0.00033750,224317808.87867647,-16005755.33088235,281488918.41911763
0.00033900,213598178.49264705,-16313968.63970588,270330110.69852942
0.00034050,203049505.11029410,-16621626.98529412,259334607.81617647
0.00034200,192668640.56170958,-16927948.91544118,248499437.94117647
0.00034350,182454544.46691176,-17232653.98897059,237821676.32352942
0.00034500,172401444.66911766,-17536117.46323529,227299466.72794119
0.00034650,162509316.76801470,-17838643.16176471,216931484.54044119
0.00034800,152775583.54779410,-18140787.68382353,206715204.04411766
0.00034950,143196907.35294119,-18441839.57904412,196647141.23161766
0.00035100,133771464.81617647,-18741893.17095588,186728102.38970590
0.00035250,124495809.55882353,-19041248.71323529,176954059.34742647
0.00035400,115368601.28676471,-19339335.55147059,167324232.53676471
0.00035550,106386691.65441176,-19637561.58088235,157835960.11029410
0.00035700,97548240.05514705,-19934407.07352941,148486754.30147058
0.00035850,88852386.02941176,-20231603.49264706,139275875.73529410
0.00036000,80293700.36764705,-20527743.84191176,130201230.14705883
0.00036150,71872716.19485295,-20823086.56617647,121261753.86029412
0.00036300,63586351.45220588,-21117577.72058824,112456024.44852941
0.00036450,55431208.63970588,-21412447.29779412,103780156.76470588
0.00036600,47406818.38235294,-21706363.41911765,95234761.58088236
0.00036750,39510926.13970588,-21999309.92647059,86817408.82352941
0.00036900,31740693.38235294,-22291284.74264706,78526298.34558824
0.00037050,24094593.19852941,-22584704.59558824,70360614.48529412
0.00037200,16570587.68382353,-22875487.77941176,62318347.59191176
0.00037350,9165847.42647059,-23166361.59926471,54397516.15808824
0.00037500,1880050.00000000,-23456771.43382353,46596941.94852941
0.00037650,-5289731.93014706,-23746003.77941176,38916459.83455882
0.00037800,-12345478.49264706,-24034706.06617647,31353052.13235294
0.00037950,-19288671.58088235,-24321905.14705882,23905545.88235294
0.00038100,-26121919.48529412,-24608328.49264706,16573730.53676471
0.00038250,-32846397.99632353,-24893907.53676471,9353622.40808824
0.00038400,-39463031.51102941,-25177368.34558824,2246700.36764706
0.00038550,-45975254.35661764,-25460722.21011029,-4749843.93382353
0.00038700,-52384339.88970588,-25742289.83455882,-11637355.03676471
0.00038850,-58691475.18382353,-26022094.66911765,-18417001.91727941
0.00039000,-64898799.90808824,-26301134.00735294,-25090086.02941176
0.00039150,-71006690.44117647,-26577396.13970588,-31658650.36029412
0.00039300,-77019175.91911764,-26852164.70588235,-38122309.92647059
0.00039450,-82936952.92279412,-27124739.33823529,-44484619.85294118
0.00039600,-88759974.06250000,-27394966.17647059,-50746312.13235294
0.00039750,-94491989.15441176,-27663193.40073529,-56907270.47794118
0.00039900,-100132746.10294117,-27928548.08823529,-62969263.05147059
0.00040050,-105685769.85294117,-28192011.87500000,-68934661.65441176
0.00040200,-111151323.89705883,-28451689.52205882,-74804339.55330883
0.00040350,-116531134.33823529,-28708821.69117647,-80579845.77205883
0.00040500,-121826323.10661764,-28963678.86029412,-86262135.84558824
0.00040650,-127038948.16176471,-29213834.76102941,-91852763.97058824
0.00040800,-132170062.68382353,-29461904.59558824,-97352463.41911764
0.00040950,-137220740.71691176,-29705270.88235294,-102763117.00735295
0.00041100,-142193506.72794119,-29944516.72794118,-108086091.37867647
0.00041250,-147088358.10661766,-30181238.97058824,-113322326.32352941
0.00041400,-151907369.94485295,-30413078.30882353,-118472880.14705883
0.00041550,-156651895.90073529,-30641706.43382353,-123539937.13235295
0.00041700,-161322743.51102942,-30864541.91176471,-128524529.72426471
0.00041850,-165921699.08088234,-31083079.22794118,-133427049.11764705
0.00042000,-170449885.66176471,-31296451.83823529,-138249692.59191176
0.00042150,-174908833.08823529,-31505526.06617647,-142993142.09558824
0.00042300,-179299322.97794119,-31710393.76838235,-147659170.72610295
0.00042450,-183622427.57352942,-31908010.11029412,-152248443.62132353
0.00042600,-187879368.06985295,-32102004.20955882,-156762866.36029410
0.00042750,-192072044.66911766,-32288970.03676471,-161202819.19117647
0.00042900,-196200221.13970590,-32470584.37500000,-165570917.02205881
0.00043050,-200266615.80882353,-32647218.19852941,-169866510.66176471
0.00043200,-204271364.88970590,-32817105.33088235,-174092004.79779410
0.00043350,-208215204.75735295,-32981223.63970588,-178248561.02941176
0.00043500,-212100743.56617647,-33138179.30147059,-182336705.46691176
0.00043650,-215927090.62500000,-33290243.75000000,-186357917.61029410
0.00043800,-219696490.97426471,-33434174.26470588,-190312170.80882353
0.00043950,-223409585.66176471,-33572310.45955882,-194202131.80147058
0.00044100,-227068454.96323529,-33703283.63970588,-198029145.64338234
0.00044250,-230670750.55147058,-33827529.22794118,-201792818.00367647
0.00044400,-234221676.65441176,-33944478.95220588,-205494503.49264705
0.00044550,-237720049.96323529,-34054265.16544118,-209135826.71323529
0.00044700,-241165244.46323529,-34156745.56985294,-212718246.50735295
0.00044850,-244560935.31250000,-34251527.97794118,-216241101.19669119
0.00045000,-247906119.08088234,-34338705.72058824,-219706680.69852942
0.00045150,-251203514.22794119,-34418428.79595588,-223116101.65441176
0.00045300,-254451346.50735295,-34490365.44117647,-226470047.94117647
0.00045450,-257652278.86029410,-34554208.27205882,-229768292.13235295
0.00045600,-260807331.47058824,-34610822.24264706,-233013053.86029410
0.00045750,-263916870.73529410,-34657790.25735294,-236204510.37132353
0.00045900,-266979893.38235295,-34698215.36764706,-239343045.40441176
0.00046050,-269998926.32352942,-34729536.39705882,-242431558.30882353
0.00046200,-272975509.92647058,-34752390.62683824,-245468650.00000000
0.00046350,-275907481.43382353,-34767006.25000000,-248457715.80882353
0.00046500,-278797778.73161763,-34773992.59191176,-251397310.25735295
0.00046650,-281646974.02573532,-34771716.52573530,-254287515.80882353
0.00046800,-284455090.80882353,-34761042.11397059,-257132351.91911766
0.00046950,-287222490.07352942,-34741855.84558824,-259929973.34558824
0.00047100,-289950065.11029410,-34714674.48529412,-262681361.45220590
0.00047250,-292639465.07352942,-34678176.10845588,-265388351.28676471
0.00047400,-295288876.63602942,-34633553.87867647,-268051483.41911766
0.00047550,-297900900.73529410,-34579815.22058824,-270670237.68382353
0.00047700,-300475309.09926468,-34517403.81250000,-273247598.23529410
0.00047850,-303013280.14705884,-34447461.36029412,-275781746.04779410
0.00048000,-305514372.48161763,-34367748.40073530,-278275337.02205884
0.00048150,-307979289.74264705,-34279644.11764706,-280727935.34926468
0.00048300,-310409122.97794116,-34183426.26470588,-283140631.63602942
0.00048450,-312804061.43382353,-34078681.80147059,-285514902.37132353
0.00048600,-315162961.74632353,-33965352.57352941,-287848521.69117647
0.00048750,-317489317.64705884,-33844119.87132353,-290146702.75735295
0.00048900,-319782029.96323532,-33713830.07352941,-292405677.83088237
0.00049050,-322040754.96323532,-33576713.78676470,-294629839.88970590
0.00049200,-324266915.62500000,-33430875.00000000,-296816528.71323532
0.00049350,-326460055.25735295,-33276243.38235294,-298968244.13602942
0.00049500,-328622492.09558821,-33114364.94485294,-301085805.97426468
0.00049650,-330750763.41911763,-32944622.86764706,-303169451.83823532
0.00049800,-332849994.85294116,-32768258.08823529,-305219405.91360295
0.00049950,-334916767.46323532,-32583534.74264706,-307238327.38970590
0.00050100,-336954493.38235295,-32391634.54044118,-309223756.43382353
0.00050250,-338960216.10294116,-32192477.38970588,-311178146.13970590
0.00050400,-340937135.47794116,-31985996.52573529,-313102194.66911763
0.00050550,-342883983.65808821,-31773248.71323529,-314995472.88602942
